"USAF","WBAN","NAME","CTRY","STATE","ICAO","LAT","LON","ELEV","BEGIN","END"
10010,99999,"JAN MAYEN(NOR-NAVY)","NO","","ENJA",70.933,-8.667,9,1931,2015
10060,99999,"EDGEOYA","NO","","",78.25,22.817,14,1973,2015
10070,99999,"NY-ALESUND","SV","","",78.917,11.933,7.7,1973,2015
10080,99999,"LONGYEAR","SV","","ENSB",78.246,15.466,26.8,1975,2015
10090,99999,"KARL XII OYA","SV","","",80.65,25,5,1955,2015
10100,99999,"ANDOYA","NO","","ENAN",69.293,16.144,13.1,1931,2015
10150,99999,"HEKKINGEN FYR","NO","","",69.6,17.833,14,1980,2015
10170,99999,"AKSELOYA","SV","","",77.683,14.783,6,1973,2015
10230,99999,"BARDUFOSS","NO","","ENDU",69.056,18.54,76.8,1940,2015
10240,99999,"PYRAMIDEN","NO","","",78.65,16.367,20,1973,2015
10250,99999,"TROMSO","NO","","ENTC",69.683,18.919,9.4,1973,2015
10280,99999,"BJORNOYA ISLAND","NO","","ENBJ",74.517,19.017,18,1931,2015
10300,99999,"KISTEFJELL","NO","","",69.283,18.133,982,1951,2015
10330,99999,"TORSVAG FYR","NO","","",70.25,19.5,24,1973,2015
10350,99999,"LYNGEN GJERDVASSBU","NO","","",69.567,20.1,710,1973,2015
10370,99999,"SKIBOTN 2","NO","","",69.383,20.283,20,1973,2015
10430,99999,"ROGNSUNDET","NO","","",70.417,22.817,10,1973,2015
10450,99999,"NORDSTRAUM I KVAENANGEN","NO","","",69.833,21.883,6,1973,2015
10460,99999,"SORKJOSEN","NO","","ENSR",69.787,20.959,4.9,1975,2015
10470,99999,"KAUTOKEINO II","NO","","ENKA",69.017,23.067,307,1973,2015
10490,99999,"ALTA","NO","","ENAT",69.976,23.372,2.7,1973,2015
10520,99999,"HAMMERFEST AP","NO","","ENHF",70.683,23.683,81,1940,2015
10550,99999,"FRUHOLMEN FYR","NO","","",71.1,23.983,14.2,1931,2015
10570,99999,"CUOVDDATMOHKKI","NO","","",69.367,24.433,286,1973,2015
10590,99999,"BANAK","NO","","ENNA",70.069,24.973,7.6,1973,2015
10620,99999,"HOPEN ISLAND","NO","","ENHO",76.5,25.067,10,1955,2015
10650,99999,"KARASJOK","NO","","",69.467,25.517,133,1973,2015
10680,99999,"HONNINGSVAG/VALAN","NO","","ENHV",71.017,25.983,14,1980,2015
10740,99999,"MEHAMN","NO","","ENMH",71.033,27.833,13,1975,2015
10780,99999,"SLETTNES FYR","NO","","",71.1,28.233,10,1973,2015
10820,99999,"NYRUD","NO","","",69.15,29.25,56,1973,2015
10830,99999,"BERLEVAG","NO","","ENBV",70.867,29.033,13,1975,2015
10840,99999,"PASVIK","NO","","",69.45,30.033,27,1973,2015
10880,99999,"VADSO","NO","","ENVD",70.067,29.85,39,1975,2015
10890,99999,"HOYBUKTMOEN","NO","","ENKR",69.726,29.893,86.3,1940,2015
10920,99999,"MAKKAUR FYR","NO","","",70.7,30.083,9,1973,2015
10980,99999,"VARDO","NO","","",70.367,31.1,15,1931,2015
11020,99999,"SKLINNA FYR","NO","","",65.2,11,16,1975,2015
11050,99999,"ROTVAER","NO","","",68.367,15.95,8,1973,2015
11120,99999,"BRONNOY","NO","","ENBN",65.461,12.218,7.6,1973,2015
11150,99999,"MYKEN","NO","","",66.767,12.483,13,1973,2015
11160,99999,"STOKKA","NO","","ENST",65.95,12.467,17.1,1973,2015
